"name","type","place","price","link"
"Зойка","бар","Патриаршие","дорого","https://yandex.ru/maps/org/zoyka/46565865704/?ll=37.592591%2C55.762880&z=16.8 "
"Дом, в котором","бар","Чистые","приемлемо","https://yandex.ru/maps/org/dom_v_kotorom/107753041451/?ll=37.645358%2C55.758610&z=16.8 "
"Underdog","бар","Чистые","приемлемо","https://yandex.ru/maps/org/underdog/181544007639/?ll=37.635332%2C55.757501&z=16.8 "
"Пока никто не видит","бар","Чистые","приемлемо","https://yandex.ru/maps/org/poka_nikto_ne_vidit/107919255004/?ll=37.645780%2C55.759851&z=16.8 "
"Insider Bar","бар","Срестенка","очень дорого","https://yandex.ru/maps/org/insider/58535172346/?ll=37.632475%2C55.769494&z=16.8 "
"Koji","азия","Большая Никитская","дорого","https://yandex.ru/maps/org/koji/122754332962/?ll=37.599682%2C55.757109&mode=search&sctx=ZAAAAAgBEAAaKAoSCdBE2PD00EJAEe87hsd% oAQC9AUEjxC7CAQai8umlyQOCAgRLb2ppigIAkgIAmgIMZGVza3RvcC1tYXBz&sll=37.599682%2C55.757109&sspn=0.023564%2C0.009632&text=Koji&z=15.8"
"Izumi","азия","Чистые","приемлемо","https://yandex.ru/maps/org/izumi/93319198300/?ll=37.640110%2C55.766190&mode=search&sctx=ZAAAAAgBEAAaKAoSCfz%2FOGHCzEJAEe5AnfLo4EtAEhIJmKdzRSkhmD8RT%2Bj1J%2FG5gz8iBgABAgMEBSgKOABA2q0HSAFiHnJlbGV2X3NlcnZpY2VfYXJlYV9wZXJjZW50PTEwMGoCcnWdAc3MTD2gAQCoAQC9AQjyVXTCAQbc7IfS2wKCAgVJenVtaYoCAJICAJoCDGRlc2t0b3AtbWFwcw%3D%3D&sll=37.640110%2C55.766190&sspn=0.012029%2C0.004916&text=Izumi&z=16.77"
"Bagebi","грузия","Пречистенка","дорого","https://yandex.ru/maps/org/restoran_bagebi/59184816351/?ll=37.593026%2C55.741197&mode=search&sctx=ZAAAAAgBEAAaKAoSCdnr3R%2Fv0UJAEdlCkIMS4ktAEhIJ2SPUDKmiiD8RXFmis8widD8iBgABAgMEBSgKOABAypIHSAFiHnJlbGV2X3NlcnZpY2VfYXJlYV9wZXJjZW50PTEwMGoCcnWdAc3MTD2gAQCoAQC9AdVp%2FzzCAQbfwcK93AGCAgZCYWdlYmmKAgCSAgCaAgxkZXNrdG9wLW1hcHM%3D&sll=37.593026%2C55.741197&sspn=0.012029%2C0.004919&text=Bagebi&z=16.77"
"Батони","грузия","Фрунзенская","приемлемо","https://yandex.ru/maps/org/batoni/1203061165/?ll=37.597441%2C55.733886&mode=search&sll=37.593026%2C55.741197&sspn=0.012029%2C0.004919&text=%D0%91%D0%B0%D1%82%D0%BE%D0%BD%D0%B8&z=13.77 "
"Рыбторг","морепродукты","Патриаршие","дорого","https://yandex.ru/maps/org/rybtorg/23267710575/?filter=alternate_vertical%3ARequestWindow&ll=37.597838%2C55.764912&mode=search&sctx=ZAAAAAgBEAAaKAoSCTwyVpv%2FyUJAEQJ%2F%2BPnv3UtAEhIJsaayKOyiuD8RrwlpjUEnpD8iBgABAgMEBSgKOABA3q0HSAFiHnJlbGV2X3NlcnZpY2VfYXJlYV9wZXJjZW50PTEwMGoCcnWdAc3MTD2gAQCoAQC9AcCeD0HCAQXvrPTWVoICDtCg0YvQsdGC0L7RgNCzigIAkgIAmgIMZGVza3RvcC1tYXBz&sll=37.597838%2C55.764912&sspn=0.012029%2C0.004916&text=%D0%A0%D1%8B%D0%B1%D1%82%D0%BE%D1%80%D0%B3&z=16.77 "
"Extra Virgin","пицца и паста","Тверская","приемлемо","https://yandex.ru/maps/org/extra_virgin/93890941167/?ll=37.606386%2C55.767731&z=16.04 "
"Semifreddo","пицца и паста","Парк Культуры","дорого","https://yandex.ru/maps/org/semifreddo/1072187769/?ll=37.589180%2C55.735949&mode=search&sctx=ZAAAAAgBEAAaKAoSCUpgcw6ezUJAEQyQaAJF4ktAEhIJ4A7UKY9ulD8RgxWnWguzgD8iBgABAgMEBSgKOABA3K0HSAFiHnJlbGV2X3NlcnZpY2VfYXJlYV9wZXJjZW50PTEwMGoCcnWdAc3MTD2gAQCoAQC9AZpMkM7CAQX5kqH%2FA4ICClNlbWlmcmVkZG%2BKAgCSAgCaAgxkZXNrdG9wLW1hcHM%3D&sll=37.589180%2C55.735949&sspn=0.019953%2C0.008160&text=Semifreddo&z=16.04 "
"Матрешка","русская ","Кутузовский проспект","дорого","https://yandex.ru/maps/org/matryoshka/1687766924/?ll=37.566772%2C55.752329&z=16.8 "
"Grand Cru","шеф иностранец","Патриаршие","дорого","https://yandex.ru/maps/org/grand_cru/1092999324/?ll=37.595900%2C55.762670&z=16.53 "
"Christian","шеф иностранец","Кутузовский проспект","приемлемо","https://yandex.ru/maps/org/christian/1314017852/?ll=37.564913%2C55.750718&z=16.8 "
"Иона","кофейня","Строгино","дешево ","https://yandex.ru/maps/org/iona/73144570372/?ll=37.401797%2C55.803509&z=16.8 "
"Салют","кофейня","Пушкинская","приемлемо","https://yandex.ru/maps/org/salyut/96503031608/?ll=37.495861%2C55.789799&mode=search&sll=37.402500%2C55.803370&sspn=0.050161%2C0.020480&text=%D0%A1%D0%B0%D0%BB%D1%8E%D1%82%20%D0%BA%D0%B0%D1%84%D0%B5&z=11.71 "
"Eggsellent","кофейня","Маяковская","приемлемо","https://yandex.ru/maps/org/eggsellent/126378669057/?ll=37.630344%2C55.759664&mode=search&sctx=ZAAAAAgBEAAaKAoSCVEujV94v0JAEe60NSIY5UtAEhIJ93ZLcsCu2T8RjJ3wEpz6xD8iBgABAgMEBSgKOABAt54BSAFiHnJlbGV2X3NlcnZpY2VfYXJlYV9wZXJjZW50PTEwMGoCcnWdAc3MTD2gAQCoAQC9AXPbVCDCAQaB6IXm1gOCAgpFZ2dzZWxsZW50igIAkgIAmgIMZGVza3RvcC1tYXBz&sll=37.630344%2C55.759664&sspn=0.113654%2C0.046455&text=Eggsellent&z=13.53 "
"ABC Roasters","кофейня","Третьяковская","приемлемо","https://yandex.ru/maps/org/abc_coffee_roasters/181519814353/?ll=37.623277%2C55.741206&z=16.8 "
"Folk","авторская кухня","Цветной","приемлемо","https://yandex.ru/maps/org/folk/116267510410/?indoorLevel=1&ll=37.623019%2C55.768019&mode=search&sctx=ZAAAAAgBEAAaKAoSCaysbYrHz0JAEavMlNbf3ktAEhIJmKdzRSkhiD8RDf%2FpBgq8cz8iBgABAgMEBSgKOABA360HSAFiHnJlbGV2X3NlcnZpY2VfYXJlYV9wZXJjZW50PTEwMGoCcnWdAc3MTD2gAQCoAQC9ASfv4R7CAQaK1dWQsQOCAgRGb2xrigIAkgIAmgIMZGVza3RvcC1tYXBz&sll=37.623019%2C55.768019&sspn=0.011864%2C0.004848&text=Folk&z=16.79 "
"TwinsGarden","авторская кухня","Пушкинская","очень дорого","https://yandex.ru/maps/org/twins_garden/192990200894/?ll=37.610826%2C55.766258&z=16.8 "
"Айна","авторская кухня","Осторженка","приемлемо","https://yandex.ru/maps/org/ayna/213553197002/?ll=37.599112%2C55.741809&z=16.8 "
"Северяне","авторская кухня","Большая Никитская","дорого","https://yandex.ru/maps/org/severyane/206562056886/?ll=37.606366%2C55.756563&z=16.07 "
"Турандот","авторская кухня","Пушкинская","очень дорого","https://yandex.ru/maps/org/turandot/1106897219/?ll=37.604443%2C55.763264&mode=search&sll=37.606366%2C55.756563&sspn=0.019542%2C0.007988&text=%D0%A2%D1%83%D1%80%D0%B0%D0%BD%D0%B4%D0%BE%D1%82&z=15.07 "
"Пушкинъ","авторская кухня","Пушкинская","очень дорого","https://yandex.ru/maps/org/pushkin/1018907821/menu/?ll=37.604930%2C55.763722&mode=search&sll=37.596594%2C55.763264&sspn=0.039084%2C0.015974&tab=menu&text=%D0%9A%D0%B0%D1%84%D0%B5%20%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%D1%8A&z=15.02 "
